screen_name,retweet_count,plain_text_len,question_marks,esclamation_marks,emojis,hashtags,tags,urls,verbs,nouns,adjs,advs
CookGlobal,17,41,0,2,0,0,1,1,2,1,2,0
CookGlobal,9,26,0,1,0,0,0,1,0,1,1,1
CookGlobal,18,34,1,1,0,0,0,1,1,3,2,0
CookGlobal,3,86,0,1,0,0,1,2,2,7,2,1
CookGlobal,12,171,0,0,0,1,0,2,6,13,6,0
CookGlobal,6,77,0,0,1,0,1,2,6,2,1,3
indianclaypot,14,22,0,1,0,17,0,2,0,3,1,0
indianclaypot,18,23,0,0,0,18,0,2,0,3,0,0
indianclaypot,10,30,0,1,0,17,0,2,0,4,1,0
indianclaypot,14,40,0,1,0,16,0,2,0,6,0,0
indianclaypot,12,77,0,0,0,16,0,2,2,8,1,0
indianclaypot,19,17,0,1,0,17,0,2,0,2,1,0
indianclaypot,16,17,0,1,0,21,0,2,0,3,0,0
misspickledplum,16,110,1,2,1,4,0,2,2,5,2,2
misspickledplum,15,131,2,1,3,2,0,2,5,9,3,1
misspickledplum,14,75,1,1,1,3,0,2,2,3,3,1
misspickledplum,6,97,1,0,2,9,0,2,3,8,3,0
misspickledplum,7,113,0,1,2,6,0,2,6,3,3,3
misspickledplum,8,104,0,1,3,6,0,2,5,7,4,0
misspickledplum,35,98,1,1,3,0,0,2,2,8,3,0
misspickledplum,6,69,0,1,1,6,0,2,0,9,1,0
misspickledplum,13,74,0,1,5,7,0,2,1,7,3,0
misspickledplum,21,107,0,1,4,8,0,2,7,7,3,0
misspickledplum,6,127,0,2,2,5,0,2,4,9,5,2
misspickledplum,3,98,0,2,2,6,0,2,1,8,3,1
Living_Lou,8,108,1,1,0,2,0,2,3,10,2,0
Living_Lou,4,64,0,1,0,3,0,2,3,4,2,2
Living_Lou,14,53,0,2,1,0,2,1,2,3,1,0
Living_Lou,5,117,0,1,0,2,0,2,3,11,3,2
Living_Lou,5,73,0,1,1,0,1,1,3,5,3,0
Living_Lou,7,88,0,1,0,3,0,2,4,3,4,2
Living_Lou,10,90,0,1,0,3,0,2,2,12,1,0
Living_Lou,8,70,0,2,0,3,0,2,4,3,2,0
Living_Lou,6,104,0,1,0,2,0,2,2,9,5,0
Living_Lou,15,161,0,1,1,2,1,2,4,14,4,1
Living_Lou,13,88,0,1,0,2,0,2,2,8,2,1
Living_Lou,11,88,0,1,0,3,0,2,3,9,2,0
Living_Lou,13,82,0,1,0,2,0,2,2,10,1,0
Living_Lou,10,81,0,1,0,2,0,2,2,5,2,0
Living_Lou,24,103,0,1,0,2,0,2,4,10,2,1
Living_Lou,26,86,0,1,2,2,0,2,2,7,3,0
Living_Lou,24,65,0,2,1,0,0,1,2,4,1,0
Living_Lou,5,103,0,1,0,2,0,2,4,9,2,0
Living_Lou,15,108,0,1,0,2,0,2,3,9,3,0
Living_Lou,11,81,0,1,0,2,0,2,2,8,2,2
Living_Lou,13,64,0,1,0,2,1,2,1,7,2,0
Living_Lou,16,82,0,1,0,3,0,2,3,9,0,0
Living_Lou,22,94,0,1,1,2,0,2,4,9,0,0
Living_Lou,10,79,0,1,0,2,0,2,1,9,2,0
Living_Lou,8,120,0,1,0,3,0,2,6,9,0,1
Living_Lou,6,64,0,1,0,3,0,2,1,9,0,0
Living_Lou,6,172,0,2,1,2,0,2,5,12,5,0
Living_Lou,18,80,0,1,0,2,0,2,1,7,2,0
Living_Lou,17,101,0,1,1,2,1,2,1,14,2,0
Living_Lou,6,107,0,1,0,2,1,2,4,9,0,2
Living_Lou,8,52,0,1,1,0,1,1,0,5,0,0
Living_Lou,6,67,0,1,0,2,0,2,1,6,1,0
Living_Lou,12,108,0,1,0,2,0,2,4,10,3,1
Living_Lou,3,129,0,1,0,2,0,2,2,14,3,0
Living_Lou,21,90,1,1,1,1,0,1,5,7,1,1
Living_Lou,15,110,0,1,0,4,0,2,0,8,2,1
Living_Lou,7,133,0,2,0,3,0,2,3,8,3,0
Living_Lou,17,80,0,1,0,2,0,2,2,8,0,0
Living_Lou,7,63,0,1,0,3,0,3,1,7,2,0
Living_Lou,5,50,0,1,0,2,0,2,2,4,1,1
Living_Lou,3,71,0,1,0,3,0,2,0,7,1,1
Living_Lou,11,45,0,2,0,3,0,2,0,5,2,0
Living_Lou,5,92,0,1,0,1,0,2,0,13,1,0
Living_Lou,8,64,0,1,1,1,1,1,1,5,3,0
Living_Lou,5,84,0,1,0,2,0,2,1,9,2,0
Living_Lou,6,80,0,1,0,4,0,2,2,10,3,0
Living_Lou,2,83,0,1,0,2,0,2,2,9,2,1
Living_Lou,3,50,0,1,1,1,0,1,2,3,1,0
Living_Lou,11,114,0,2,0,3,0,2,4,10,1,2
Living_Lou,24,108,0,1,0,2,0,2,5,7,1,0
Living_Lou,7,81,0,1,0,3,0,2,3,6,2,1
Living_Lou,12,106,0,1,0,2,0,2,4,6,2,2
Living_Lou,11,75,0,1,0,2,0,2,2,7,2,1
Living_Lou,24,82,0,1,1,2,0,2,3,8,1,0
Living_Lou,14,114,0,1,0,2,0,3,1,15,2,0
Living_Lou,14,96,0,1,0,3,0,2,3,9,7,1
Living_Lou,12,123,0,1,0,2,0,2,3,12,4,0
Living_Lou,9,64,0,0,0,2,0,2,2,5,2,0
Living_Lou,24,165,0,1,0,2,0,2,5,17,5,0
Living_Lou,6,119,0,2,0,4,0,2,2,12,3,0
Living_Lou,9,100,0,1,0,2,0,2,3,7,4,0
Living_Lou,11,134,0,1,0,3,0,2,4,11,7,0
Living_Lou,5,65,0,1,0,2,0,2,3,5,1,1
Living_Lou,17,100,0,1,0,2,0,2,3,7,4,0
Living_Lou,26,49,0,1,1,1,0,1,3,2,2,1
Living_Lou,6,112,0,0,0,2,0,2,3,11,2,0
Living_Lou,22,48,0,1,0,3,0,2,0,7,0,0
Living_Lou,4,77,0,1,0,2,0,2,2,5,5,1
Living_Lou,14,67,0,1,0,3,0,2,2,4,1,2
Living_Lou,20,112,0,1,0,2,0,2,3,10,7,0
Living_Lou,12,88,0,1,0,2,0,2,1,7,3,0
Living_Lou,7,94,0,1,0,2,0,2,4,7,3,1
Living_Lou,8,105,0,1,0,2,0,2,0,10,3,1
Living_Lou,6,63,0,1,0,3,0,2,3,4,1,0
Living_Lou,10,102,0,1,0,2,0,2,2,10,3,0
Living_Lou,11,63,0,1,0,2,0,2,1,6,2,0
Living_Lou,18,78,0,1,0,3,0,2,2,7,6,0
Living_Lou,9,108,0,1,0,2,0,2,3,7,5,1
Living_Lou,22,67,0,1,1,1,0,1,2,6,2,0
Living_Lou,12,89,0,1,0,2,0,2,3,6,2,2
Living_Lou,12,60,0,0,0,2,0,2,2,6,3,0
Living_Lou,7,70,0,1,0,2,0,2,3,4,2,0
Living_Lou,6,99,0,1,0,2,0,2,3,7,2,1
Living_Lou,19,78,0,1,0,3,0,3,0,9,0,0
Living_Lou,23,95,0,1,0,2,0,3,3,9,2,0
Living_Lou,5,54,0,1,1,0,1,1,3,4,1,1
Living_Lou,7,73,0,1,0,1,0,2,1,7,0,2
Living_Lou,11,121,1,1,0,2,0,2,2,11,2,0
Living_Lou,22,52,0,1,0,3,0,2,2,4,1,1
Living_Lou,7,162,0,2,0,2,0,2,6,12,3,1
Living_Lou,33,105,0,1,0,3,0,2,6,6,1,1
Living_Lou,12,98,0,1,0,2,0,2,3,7,3,2
Living_Lou,17,62,1,2,1,1,0,1,2,5,1,0
Living_Lou,9,47,0,2,1,0,1,1,1,5,0,0
Living_Lou,11,108,0,1,0,2,0,2,2,11,6,0
Living_Lou,11,81,0,1,0,2,0,2,2,10,2,0
Living_Lou,13,98,0,2,0,3,0,2,3,6,4,0
KitchenSanc2ary,20,157,0,0,0,5,0,2,3,15,3,1
KitchenSanc2ary,42,55,0,1,0,4,0,1,2,5,1,0
KitchenSanc2ary,15,153,0,1,0,3,0,2,4,14,3,1
KitchenSanc2ary,28,96,0,1,0,7,0,1,4,5,3,2
KitchenSanc2ary,2,52,0,0,2,0,15,0,1,4,1,3
KitchenSanc2ary,2,52,0,0,3,0,16,0,1,4,1,3
KitchenSanc2ary,4,52,0,0,3,0,15,0,1,4,1,3
KitchenSanc2ary,4,52,0,0,3,0,14,0,1,4,1,3
KitchenSanc2ary,1,52,0,0,3,0,16,0,1,4,1,3
KitchenSanc2ary,2,52,0,0,3,0,16,0,1,4,1,3
KitchenSanc2ary,5,52,0,0,3,0,14,0,1,4,1,3
KitchenSanc2ary,0,52,0,0,3,0,15,0,1,4,1,3
KitchenSanc2ary,3,52,0,0,3,0,14,0,1,4,1,3
KitchenSanc2ary,2,52,0,0,3,0,16,0,1,4,1,3
KitchenSanc2ary,1,34,0,0,3,0,16,0,1,2,1,1
KitchenSanc2ary,6,52,0,0,3,0,15,0,1,4,1,3
KitchenSanc2ary,4,52,0,0,3,0,16,0,1,4,1,3
KitchenSanc2ary,14,151,0,1,0,4,0,2,3,12,6,2
KitchenSanc2ary,54,85,0,1,0,3,0,1,2,9,3,0
KitchenSanc2ary,29,77,0,1,0,4,0,2,1,8,1,1
KitchenSanc2ary,52,134,0,2,0,4,0,1,2,13,4,0
KitchenSanc2ary,42,119,0,2,0,4,0,1,4,11,2,0
KitchenSanc2ary,20,113,0,1,0,4,0,2,2,5,7,3
KitchenSanc2ary,31,119,2,1,1,4,0,1,6,5,3,2
KitchenSanc2ary,23,103,0,1,0,6,0,2,1,10,3,0
KitchenSanc2ary,13,96,0,1,0,7,0,1,4,5,3,2
KitchenSanc2ary,29,89,0,1,0,5,0,2,4,8,1,0
KitchenSanc2ary,22,48,0,0,0,0,1,1,1,6,0,0
KitchenSanc2ary,28,103,0,0,0,4,0,2,3,11,2,0
KitchenSanc2ary,14,177,0,1,0,2,0,2,4,15,4,3
KitchenSanc2ary,50,35,0,1,0,4,0,1,0,4,1,0
KitchenSanc2ary,36,153,0,1,0,3,0,2,4,14,3,1
KitchenSanc2ary,6,104,0,0,0,3,1,1,2,11,0,1
KitchenSanc2ary,37,103,0,1,0,7,0,2,1,10,3,0
KitchenSanc2ary,23,104,0,0,0,6,0,2,4,8,2,2
KitchenSanc2ary,36,142,0,1,0,4,0,2,4,12,3,0
KitchenSanc2ary,4,63,0,0,2,0,12,0,1,4,2,2
KitchenSanc2ary,3,63,0,0,2,0,13,0,1,4,2,2
KitchenSanc2ary,3,63,0,0,2,0,14,0,1,4,2,2
KitchenSanc2ary,2,63,0,0,2,0,14,0,1,4,2,2
KitchenSanc2ary,2,63,0,0,2,0,13,0,1,4,2,2
KitchenSanc2ary,4,63,0,0,2,0,13,0,1,4,2,2
KitchenSanc2ary,0,63,0,0,2,0,14,0,1,4,2,2
KitchenSanc2ary,5,63,0,0,2,0,15,0,1,4,2,2
KitchenSanc2ary,3,63,0,0,2,0,14,0,1,4,2,2
KitchenSanc2ary,42,125,0,1,1,5,0,2,5,10,4,0
KitchenSanc2ary,29,104,0,0,0,6,0,1,4,8,2,2
KitchenSanc2ary,23,108,0,1,0,7,0,2,1,10,2,0
KitchenSanc2ary,28,130,0,1,0,4,0,2,5,10,3,2
KitchenSanc2ary,60,129,0,0,0,4,0,1,3,11,4,0
KitchenSanc2ary,27,103,0,1,0,7,0,2,1,10,3,0
KitchenSanc2ary,25,105,0,1,0,6,0,2,5,7,2,2
KitchenSanc2ary,2,48,0,0,2,0,10,0,1,4,1,2
KitchenSanc2ary,1,47,0,0,2,0,15,0,1,4,1,2
KitchenSanc2ary,3,47,0,0,2,0,14,0,1,4,1,2
KitchenSanc2ary,4,47,0,0,2,0,16,0,1,4,1,2
